season,game_date,home_team,away_team,home_score,away_score,outcome,elo_diff,ppg_diff,goals_for_diff,goals_against_diff,form_5g_diff,rest_days_diff,home_advantage_diff,xg_for_diff,xg_against_diff,possession_diff,draw_tendency_diff,travel_distance,midweek_flag,altitude_flag,is_home,poisson_home,poisson_draw,poisson_away
2019,2019-05-19,MIN,CLB,1,0,H,38.6408,0.3,0.5,-0.5,0.1333,-1,-0.4786,-0.275,-0.475,-8.0,0.3,0.2075,0,0,1.0,0.3352,0.2418,0.423
2019,2019-05-19,HOU,DC,2,1,H,13.2244,0.3,0.5,0.3333,-0.2,0,0.3095,0.5083,-0.2583,-0.4667,0.0,0.407,0,0,1.0,0.4901,0.2153,0.2946
2019,2019-05-19,SKC,VAN,1,1,D,4.1448,-0.2,0.3333,1.6667,-0.3333,4,0.3143,0.6917,0.3,8.65,0.1,0.5213,0,0,1.0,0.5131,0.2149,0.272
2019,2019-05-19,ORL,CIN,5,1,H,8.0541,0.0,0.3333,-0.3333,0.0667,-5,-0.0905,0.325,-0.025,-2.2667,0.0,0.2507,0,0,1.0,0.4365,0.2674,0.2961
2019,2019-05-19,RBNY,ATL,1,0,H,-31.9705,-0.7,0.1667,1.0,-0.4,5,0.4,-0.7667,0.5,-15.4833,-0.1,0.2481,0,0,1.0,0.2563,0.2004,0.5433
2019,2019-05-19,DAL,LAFC,1,1,D,-72.6316,-0.5,-0.5,1.0,-0.0667,0,-0.2333,-0.8417,1.1667,-11.9667,-0.2,0.4079,0,0,1.0,0.2394,0.1914,0.5692
2019,2019-05-20,LA,COL,0,1,A,80.7286,1.8,-0.5,-1.3333,0.2667,1,0.6571,-0.0833,-0.0583,5.45,0.0,0.2786,0,0,1.0,0.3739,0.2238,0.4024
2019,2019-05-23,RBNY,VAN,2,2,D,28.8844,0.0,0.5,0.0,0.2667,0,0.2524,0.0583,-0.6333,-8.4333,-0.3,0.8074,1,0,1.0,0.3991,0.2546,0.3463
2019,2019-05-24,ORL,LA,0,1,A,-15.4451,-0.3,0.5,-0.5,0.0667,1,-0.2881,-0.2167,-0.4,-8.2333,0.0,0.7332,0,0,1.0,0.3537,0.2279,0.4185
2019,2019-05-25,RSL,ATL,2,1,H,-25.292,-0.7,0.8333,1.0,-0.2,1,0.3143,0.3,0.6167,-7.45,-0.1,0.526,0,1,1.0,0.4382,0.2023,0.3594
2019,2019-05-25,LAFC,MTL,4,2,H,75.4657,0.6,0.3333,-0.1667,0.1333,-1,0.3048,0.975,-0.075,11.2833,0.0,0.821,0,0,1.0,0.5742,0.1997,0.226
2019,2019-05-25,CHI,NYC,1,1,D,-39.3033,-0.2,-0.5,0.3333,-0.4,-7,0.8714,-0.5,0.625,-9.0,-0.2,0.2368,0,0,1.0,0.2821,0.2224,0.4955
2019,2019-05-25,VAN,DAL,2,1,H,-31.2855,-0.1,0.1667,-0.1667,0.2,-4,0.1143,-0.2083,0.0417,0.5,0.2,0.5834,0,0,1.0,0.3485,0.224,0.4275
2019,2019-05-25,CIN,RBNY,0,2,A,-55.4251,-0.7,-1.3333,1.0,-0.4667,4,-0.025,-0.2833,0.1833,4.1333,-0.1,0.1883,0,0,1.0,0.301,0.2679,0.4311
2019,2019-05-25,NE,DC,1,1,D,-75.8998,-0.3,0.3333,2.5,-0.1333,1,0.2857,-0.1167,0.4667,-6.4667,0.0,0.1251,0,0,1.0,0.3449,0.2433,0.4118
2019,2019-05-25,PHI,POR,1,3,A,55.7241,1.3,0.8333,-0.6667,0.0667,-2,0.6537,0.4833,-0.6667,8.9167,0.1,0.8026,0,0,1.0,0.4953,0.1978,0.3069
2019,2019-05-26,MIN,HOU,1,0,H,-23.0412,-1.0,-0.3333,0.1667,-0.1333,0,-0.4452,-0.55,-0.4667,-1.2,0.2,0.3529,0,0,1.0,0.2934,0.2253,0.4813
2019,2019-05-26,COL,CLB,3,2,H,-29.1216,-0.5,0.6667,0.5,0.0,-1,-0.5,0.5917,-0.2167,-5.9167,0.1,0.3876,0,1,1.0,0.5044,0.2243,0.2712
2019,2019-05-26,SKC,SEA,3,2,H,-60.5009,-0.6,0.1667,1.6667,-0.4667,-1,-0.2167,0.7417,0.4833,10.0333,0.0,0.4998,0,0,1.0,0.5188,0.2106,0.2706
2019,2019-05-26,TOR,SJ,1,2,A,25.518,-0.3,-1.3333,0.3333,-0.2667,0,-0.5429,0.1167,-0.3667,0.9167,0.0,0.75,0,0,1.0,0.4228,0.2096,0.3676
2019,2019-05-29,ATL,MIN,3,0,H,-1.8007,0.3,0.6667,0.0,-0.0667,1,0.0,0.7417,-0.025,7.3833,-0.3,0.3014,1,0,1.0,0.5303,0.2247,0.245
2019,2019-05-29,MTL,RSL,2,1,H,-7.4419,-0.1,-1.1667,0.3333,-0.3333,0,-0.2446,-1.075,0.0833,-0.6667,0.2,0.647,1,0,1.0,0.2098,0.1967,0.5934
